Div,Team,ELO,Goals scored,Goals conceded,Goals difference,Points,Change in ELO,Opposition mean ELO,Shots on target attempted,Shots on target allows,Shots attemped,Shots allowed,Corners awarded,Corners allowed,Fouls commited,Fouls suffered,Yellow cards,Red cards
D1,Wolfsburg,1560.7537667664794,15.0,8.0,7.0,12,-13.638526936333164,1590.0189070193762,29.0,26.0,66.0,69.0,25.0,27.0,49.0,61.0,12.0,0.0
D1,St Pauli,1402.0697830774038,4.0,8.0,-4.0,3,-10.858741283855124,1628.140205321625,15.0,19.0,56.0,52.0,21.0,31.0,48.0,42.0,9.0,0.0
D1,Union Berlin,1520.579920208328,4.0,7.0,-3.0,2,-7.8636425845259055,1590.1220038375945,19.0,20.0,67.0,52.0,23.0,19.0,74.0,49.0,16.0,0.0
D1,Bochum,1399.384518300395,2.0,6.0,-4.0,2,7.8636425845259055,1614.476890099014,11.0,17.0,56.0,73.0,26.0,29.0,69.0,45.0,9.0,1.0
D1,Ein Frankfurt,1651.9310628033793,11.0,6.0,5.0,10,-12.851161787365527,1592.1641414480569,25.0,25.0,69.0,65.0,24.0,26.0,66.0,50.0,12.0,0.0
D1,Holstein Kiel,1410.6698175507217,3.0,14.0,-11.0,0,-8.659605169809993,1549.9913857537824,18.0,27.0,57.0,69.0,17.0,22.0,66.0,50.0,13.0,0.0
D1,Stuttgart,1691.5550883601045,12.0,8.0,4.0,10,9.544189548287932,1526.647555110733,32.0,18.0,72.0,60.0,24.0,33.0,57.0,83.0,9.0,0.0
D1,Werder Bremen,1589.5278076484437,7.0,4.0,3.0,10,10.858741283855124,1521.9347779389173,17.0,20.0,61.0,64.0,33.0,23.0,46.0,69.0,10.0,0.0
D1,Leverkusen,1812.207144645863,12.0,5.0,7.0,13,6.521695785604834,1477.1002652154461,21.0,16.0,59.0,49.0,29.0,15.0,41.0,61.0,4.0,0.0
D1,Heidenheim,1473.8308380963058,6.0,19.0,-13.0,0,-9.544189548287704,1683.1208979734788,12.0,41.0,44.0,86.0,20.0,30.0,57.0,57.0,5.0,0.0
D1,Bayern Munich,1760.919681852015,10.0,5.0,5.0,10,-22.786256999761008,1531.1318716256542,36.0,9.0,94.0,22.0,31.0,10.0,39.0,56.0,7.0,0.0
F1,Le Havre,1399.3422657803499,3.0,9.0,-6.0,3,-13.705808457756348,1513.709186831487,12.0,24.0,45.0,74.0,23.0,27.0,51.0,58.0,6.0,0.0
F1,Brest,1595.7784565900256,11.0,11.0,0.0,6,8.786652996647035,1574.8694769003494,29.0,29.0,62.0,62.0,20.0,15.0,66.0,60.0,10.0,0.0
F1,Reims,1566.7233063065987,4.0,3.0,1.0,6,4.643189235991031,1591.7602764371086,19.0,21.0,67.0,55.0,17.0,18.0,73.0,70.0,10.0,0.0
F1,Monaco,1711.2450896211324,9.0,5.0,4.0,10,-4.643189235991031,1584.7292530359562,24.0,13.0,69.0,40.0,13.0,18.0,78.0,74.0,10.0,0.0
F1,Auxerre,1532.7040287744076,6.0,5.0,1.0,8,3.1209495332468578,1618.9757405994133,17.0,33.0,40.0,82.0,13.0,33.0,59.0,51.0,11.0,0.0
F1,Angers,1398.2105454899067,3.0,10.0,-7.0,3,-8.60679925293016,1602.4094944453632,13.0,33.0,45.0,64.0,15.0,21.0,47.0,68.0,2.0,0.0
F1,Montpellier,1486.3599064082405,7.0,8.0,-1.0,5,5.163141501580867,1610.6574765141197,28.0,24.0,63.0,79.0,33.0,24.0,60.0,81.0,18.0,1.0
F1,Toulouse,1574.152843593366,6.0,6.0,0.0,9,8.963079854344869,1618.7491522784796,18.0,16.0,49.0,50.0,19.0,19.0,76.0,69.0,8.0,0.0
F1,Rennes,1539.1233336798584,7.0,4.0,3.0,6,8.60679925293016,1512.2945869111231,18.0,6.0,41.0,33.0,20.0,13.0,73.0,74.0,9.0,1.0
F1,Paris SG,1826.8297793700704,11.0,4.0,7.0,11,8.505503155024371,1523.650151587121,47.0,12.0,105.0,39.0,43.0,20.0,44.0,41.0,7.0,0.0
F1,Lyon,1683.3123175980036,10.0,5.0,5.0,10,-8.505503155024371,1584.9380760883212,35.0,27.0,69.0,63.0,24.0,20.0,56.0,55.0,9.0,0.0
F1,Lille,1699.2551110160346,9.0,6.0,3.0,9,1.2752726062844886,1589.3263785881434,23.0,17.0,51.0,48.0,17.0,20.0,71.0,67.0,14.0,1.0
F1,St Etienne,1442.2398234010914,2.0,10.0,-8.0,3,-8.963079854344869,1587.0244687453771,14.0,33.0,29.0,78.0,15.0,35.0,72.0,62.0,11.0,1.0
F1,Lens,1645.112373807899,10.0,7.0,3.0,10,-3.1209495332468578,1538.0109713983823,25.0,17.0,76.0,49.0,24.0,10.0,68.0,48.0,10.0,0.0
F1,Nantes,1459.4394354224726,5.0,10.0,-5.0,4,-8.786652996647035,1606.6548405708174,18.0,29.0,62.0,64.0,23.0,21.0,57.0,48.0,6.0,0.0
F1,Nice,1642.3043166487953,9.0,10.0,-1.0,8,-5.163141501580867,1558.3301807979533,28.0,27.0,83.0,71.0,23.0,31.0,62.0,53.0,11.0,0.0
F1,Strasbourg,1526.917308191724,6.0,8.0,-2.0,4,13.705808457756348,1582.3709396297186,16.0,25.0,43.0,67.0,16.0,15.0,52.0,76.0,9.0,0.0
